Ligand_name,Ligand_smiles,L_MaxAbsEStateIndex,L_MaxEStateIndex,L_MinAbsEStateIndex,L_MinEStateIndex,L_qed,L_SPS,L_MolWt,L_HeavyAtomMolWt,L_ExactMolWt,L_NumValenceElectrons,L_MaxPartialCharge,L_MinPartialCharge,L_MaxAbsPartialCharge,L_MinAbsPartialCharge,L_FpDensityMorgan1,L_FpDensityMorgan2,L_FpDensityMorgan3,L_AvgIpc,L_BalabanJ,L_BertzCT,L_Chi0,L_Chi0n,L_Chi0v,L_Chi1,L_Chi1n,L_Chi1v,L_Chi2n,L_Chi2v,L_Chi3n,L_Chi3v,L_Chi4n,L_Chi4v,L_HallKierAlpha,L_Ipc,L_Kappa1,L_Kappa2,L_Kappa3,L_LabuteASA,L_PEOE_VSA1,L_PEOE_VSA10,L_PEOE_VSA11,L_PEOE_VSA12,L_PEOE_VSA14,L_PEOE_VSA2,L_PEOE_VSA3,L_PEOE_VSA4,L_PEOE_VSA5,L_PEOE_VSA6,L_PEOE_VSA7,L_PEOE_VSA8,L_PEOE_VSA9,L_SMR_VSA1,L_SMR_VSA10,L_SMR_VSA2,L_SMR_VSA3,L_SMR_VSA4,L_SMR_VSA5,L_SMR_VSA6,L_SMR_VSA7,L_SMR_VSA9,L_SlogP_VSA1,L_SlogP_VSA10,L_SlogP_VSA11,L_SlogP_VSA12,L_SlogP_VSA2,L_SlogP_VSA3,L_SlogP_VSA4,L_SlogP_VSA5,L_SlogP_VSA6,L_SlogP_VSA7,L_SlogP_VSA8,L_TPSA,L_EState_VSA1,L_EState_VSA10,L_EState_VSA2,L_EState_VSA3,L_EState_VSA4,L_EState_VSA5,L_EState_VSA6,L_EState_VSA7,L_EState_VSA8,L_EState_VSA9,L_VSA_EState1,L_VSA_EState10,L_VSA_EState2,L_VSA_EState3,L_VSA_EState4,L_VSA_EState5,L_VSA_EState6,L_VSA_EState7,L_VSA_EState8,L_VSA_EState9,L_FractionCSP3,L_HeavyAtomCount,L_NHOHCount,L_NOCount,L_NumAliphaticCarbocycles,L_NumAliphaticHeterocycles,L_NumAliphaticRings,L_NumAromaticCarbocycles,L_NumAromaticHeterocycles,L_NumAromaticRings,L_NumHAcceptors,L_NumHDonors,L_NumHeteroatoms,L_NumRotatableBonds,L_NumSaturatedCarbocycles,L_NumSaturatedHeterocycles,L_NumSaturatedRings,L_RingCount,L_MolLogP,L_MolMR,L_fr_Al_COO,L_fr_Ar_COO,L_fr_Ar_N,L_fr_COO,L_fr_COO2,L_fr_C_O,L_fr_C_O_noCOO,L_fr_NH0,L_fr_NH1,L_fr_NH2,L_fr_Ndealkylation2,L_fr_aldehyde,L_fr_alkyl_halide,L_fr_allylic_oxid,L_fr_aniline,L_fr_aryl_methyl,L_fr_benzene,L_fr_bicyclic,L_fr_ether,L_fr_furan,L_fr_halogen,L_fr_methoxy,L_fr_nitrile,L_fr_para_hydroxylation,L_fr_pyridine,L_fr_quatN,L_fr_thiophene,L_fr_unbrch_alkane,Substrate_name,S_MaxAbsEStateIndex,S_MaxEStateIndex,S_MinAbsEStateIndex,S_MinEStateIndex,S_qed,S_SPS,S_MolWt,S_HeavyAtomMolWt,S_ExactMolWt,S_NumValenceElectrons,S_MaxPartialCharge,S_MinPartialCharge,S_MaxAbsPartialCharge,S_MinAbsPartialCharge,S_FpDensityMorgan1,S_FpDensityMorgan2,S_FpDensityMorgan3,S_BCUT2D_MWHI,S_BCUT2D_MWLOW,S_BCUT2D_CHGHI,S_BCUT2D_CHGLO,S_BCUT2D_LOGPHI,S_BCUT2D_LOGPLOW,S_BCUT2D_MRHI,S_BCUT2D_MRLOW,S_AvgIpc,S_BalabanJ,S_BertzCT,S_Chi0,S_Chi0n,S_Chi0v,S_Chi1,S_Chi1n,S_Chi1v,S_Chi2n,S_Chi2v,S_Chi3n,S_Chi3v,S_Chi4n,S_Chi4v,S_HallKierAlpha,S_Ipc,S_Kappa1,S_Kappa2,S_Kappa3,S_LabuteASA,S_PEOE_VSA1,S_PEOE_VSA10,S_PEOE_VSA11,S_PEOE_VSA13,S_PEOE_VSA14,S_PEOE_VSA2,S_PEOE_VSA3,S_PEOE_VSA4,S_PEOE_VSA6,S_PEOE_VSA7,S_PEOE_VSA8,S_PEOE_VSA9,S_SMR_VSA1,S_SMR_VSA10,S_SMR_VSA4,S_SMR_VSA5,S_SMR_VSA6,S_SMR_VSA7,S_SMR_VSA9,S_SlogP_VSA1,S_SlogP_VSA10,S_SlogP_VSA11,S_SlogP_VSA2,S_SlogP_VSA3,S_SlogP_VSA4,S_SlogP_VSA5,S_SlogP_VSA6,S_TPSA,S_EState_VSA1,S_EState_VSA10,S_EState_VSA2,S_EState_VSA3,S_EState_VSA4,S_EState_VSA5,S_EState_VSA6,S_EState_VSA7,S_EState_VSA8,S_EState_VSA9,S_VSA_EState1,S_VSA_EState2,S_VSA_EState4,S_VSA_EState5,S_VSA_EState6,S_VSA_EState7,S_VSA_EState8,S_VSA_EState9,S_FractionCSP3,S_HeavyAtomCount,S_NOCount,S_NumAliphaticCarbocycles,S_NumAliphaticRings,S_NumAromaticCarbocycles,S_NumAromaticRings,S_NumHAcceptors,S_NumHeteroatoms,S_NumRotatableBonds,S_NumSaturatedCarbocycles,S_NumSaturatedRings,S_RingCount,S_MolLogP,S_MolMR,S_fr_C_O,S_fr_C_O_noCOO,S_fr_alkyl_halide,S_fr_aryl_methyl,S_fr_benzene,S_fr_bicyclic,S_fr_ether,S_fr_halogen,S_fr_ketone,S_fr_ketone_Topliss,S_fr_methoxy,Yield
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,benzophenone,11.846296296296297,11.846296296296297,0.07518518518518569,0.07518518518518569,0.6524732866647586,9.714285714285714,182.222,172.14199999999997,182.07316494,68,0.1925196653354077,-0.2886159649049109,0.2886159649049109,0.1925196653354077,0.6428571428571429,1.0,1.3571428571428572,16.138265180166254,10.039466370350809,2.0556401157605753,-1.9882943090672232,2.0786317814185296,-1.9925035301173142,6.083681316874596,0.10340472792903752,2.303941289095321,2.348637604509715,376.003255415297,9.803118619434356,7.681750982360123,7.681750982360123,6.877010097711745,4.525491350277851,4.525491350277851,3.0611749528008096,3.0611749528008096,2.071955531687609,2.071955531687609,1.3457218019266357,1.3457218019266357,-1.8899999999999997,2580.4142437867595,8.696948085233146,3.8789693771624525,1.7163680610147731,83.01496154000138,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,60.6636706846161,0.0,11.126902983393991,0.0,4.794537184071822,5.783244946364939,0.0,0.0,0.0,71.7905736680101,0.0,0.0,0.0,0.0,5.783244946364939,0.0,0.0,15.921440167465814,60.6636706846161,17.07,0.0,4.794537184071822,5.783244946364939,0.0,11.126902983393991,0.0,0.0,60.6636706846161,0.0,0.0,0.0,11.846296296296297,1.4698148148148151,0.07518518518518569,18.608703703703704,0.0,0.0,0.0,0.0,14,1,0,0,2,2,1,1,2,0,0,2,2.917600000000001,56.316500000000026,1,1,0,0,2,0,0,0,1,0,0,20.0
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"4,4'-dimethylbenzophenone",12.068896447467875,12.068896447467875,0.08333333333333393,0.08333333333333393,0.6928341090210298,10.125,210.27599999999998,196.16399999999996,210.104465068,80,0.1925203299365607,-0.288615959251953,0.288615959251953,0.1925203299365607,0.6875,1.0,1.3125,16.138269092349006,10.013694393540678,2.0702707289694597,-2.0174441895573016,2.112194828976108,-2.0028504361634987,6.084763126744896,0.10340461384338683,2.3004956536183396,2.3156276954086836,444.4630901529121,11.543605595440512,9.527050443980873,9.527050443980873,7.664703797946448,5.346858555323769,5.346858555323769,4.061174952800808,4.061174952800808,2.6275110872431635,2.6275110872431635,1.5765384985032607,1.5765384985032607,-1.8899999999999997,5153.110264105081,10.621930817508138,4.314341428725623,2.192595494623181,95.74484576879459,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,59.65783953108687,13.847474399381248,11.126902983393991,0.0,4.794537184071822,5.783244946364939,0.0,13.847474399381248,0.0,70.78474251448087,0.0,0.0,0.0,0.0,5.783244946364939,0.0,13.847474399381248,27.048343150859804,48.53093654769288,17.07,0.0,4.794537184071822,5.783244946364939,0.0,11.126902983393991,11.126902983393991,0.0,62.37841094707413,0.0,0.0,0.0,12.068896447467875,3.8239058956916105,0.08333333333333393,15.329155328798185,0.0,4.028042328042328,0.0,0.13333333333333333,16,1,0,0,2,2,1,1,2,0,0,2,3.534440000000002,65.79050000000002,1,1,0,2,2,0,0,0,1,0,0,9.0
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"4,4'-dimethoxybenzophenone",12.163921957671956,12.163921957671956,0.013605442176869875,-0.013605442176869875,0.7731675493197216,9.88888888888889,242.27399999999997,228.16199999999995,242.094294308,92,0.19252878957710778,-0.4967677863486889,0.4967677863486889,0.19252878957710778,0.7222222222222222,1.0555555555555556,1.3333333333333333,16.467544908595446,10.032404424770364,2.0840262065909165,-2.0406763113668767,2.1693430788367003,-2.0055432233503914,6.0857403496183595,0.10339844910027275,2.4650842550135996,2.2305391554403124,477.1701015887004,12.957819157813608,10.343547024908597,10.343547024908597,8.740713402868018,5.571603426715358,5.571603426715358,3.7861272256764513,3.7861272256764513,2.7044144683434377,2.7044144683434377,1.6514534556337903,1.6514534556337903,-2.2899999999999996,16092.070016728778,12.174429825362497,5.361092663978125,2.509130515662399,105.97193622780834,9.473725907600098,11.49902366656781,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,0.0,48.53093654769288,11.126902983393991,14.219595082555067,14.268263091671919,5.783244946364939,0.0,0.0,14.219595082555067,59.65783953108687,11.49902366656781,9.473725907600098,0.0,11.49902366656781,20.002840028920005,0.0,0.0,15.921440167465814,48.53093654769288,35.53,0.0,4.794537184071822,5.783244946364939,11.126902983393991,11.49902366656781,0.0,62.75053163024795,0.0,0.0,9.473725907600098,10.114148715041573,12.163921957671956,1.2795682161753597,1.4609888464109255,14.119664588057445,0.0,0.0,3.195041009976075,0.13333333333333333,18,3,0,0,2,2,3,3,4,0,0,2,2.934800000000001,69.42050000000003,1,1,0,0,2,0,2,0,1,0,2,7.0
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"4,4'-difluorobenzophenone",12.644567271352987,12.644567271352987,0.24999999999999933,-0.3929109977324263,0.7072485841376659,10.125,218.202,210.13799999999995,218.054321316,80,0.19252656693586603,-0.2886159066941288,0.2886159066941288,0.19252656693586603,0.6875,1.0,1.3125,19.143511301204242,10.035393636437924,2.0802684918712138,-2.00251420622208,2.108880877089883,-2.0050978585728183,6.083949912547773,0.10339615689718705,2.3004956536183396,2.3156276954086836,452.9607327512057,11.543605595440512,8.282979389999324,8.282979389999324,7.664703797946448,4.724823028332996,4.724823028332996,3.342910194893542,3.342910194893542,2.2128207359159826,2.2128207359159826,1.3691933228396698,1.3691933228396698,-2.03,5153.110264105081,10.486553034816016,4.226018714656746,2.135814380474257,91.34603234585383,0.0,11.63444168209179,5.783244946364939,0.0,0.0,4.794537184071822,8.78083009534964,0.0,0.0,48.53093654769288,11.126902983393991,0.0,13.575367279421462,5.783244946364939,0.0,0.0,0.0,71.29228121317867,0.0,0.0,8.78083009534964,0.0,5.783244946364939,0.0,11.63444168209179,15.921440167465814,48.53093654769288,17.07,11.63444168209179,13.575367279421462,5.783244946364939,11.126902983393991,0.0,48.53093654769288,0.0,0.0,0.0,0.0,25.289134542705973,11.823998488284204,0.7648299319727898,-1.0358219954648515,10.491192365835223,0.0,0.0,0.0,0.0,16,1,0,0,2,2,1,3,2,0,0,2,3.195800000000002,56.232500000000016,1,1,0,0,2,0,0,2,1,0,0,18.0
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,acetophenone,10.64537037037037,10.64537037037037,0.1209259259259261,0.1209259259259261,0.5170467542625542,9.0,120.15099999999997,112.08699999999997,120.057514876,46,0.15929849657429362,-0.2945122071568907,0.2945122071568907,0.15929849657429362,1.2222222222222223,1.7777777777777777,2.111111111111111,16.137391260156594,10.154360743614623,1.9227125119501591,-1.8898985040785967,1.9698619284118863,-1.8810477519826883,5.933640770576845,0.10129919055383019,1.9003726279897948,2.981454614041131,201.06743705866424,6.69023444431199,5.294999636411992,5.294999636411992,4.304530452640311,2.864807747754891,2.864807747754891,1.9222116216323364,1.9222116216323364,1.1803153331412106,1.1803153331412106,0.6728609009633179,0.6728609009633179,-1.11,129.22533870330605,6.016742712294044,2.4437525520871133,1.3892524797182944,54.32280944833394,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,30.33183534230805,6.923737199690624,5.563451491696996,0.0,4.794537184071822,5.783244946364939,0.0,6.923737199690624,0.0,35.89528683400505,0.0,0.0,0.0,0.0,5.783244946364939,0.0,0.0,17.28172587545944,30.33183534230805,17.07,0.0,4.794537184071822,5.783244946364939,0.0,5.563451491696996,0.0,6.923737199690624,30.33183534230805,0.0,0.0,0.0,10.64537037037037,0.7754629629629631,0.1209259259259261,9.226759259259257,0.0,1.5648148148148149,0.0,0.125,9,1,0,0,1,1,1,1,1,0,0,1,1.8892,36.44650000000001,1,1,0,0,1,0,0,0,1,1,0,34.0
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"2,2,2-trifluoroacetophenone",11.785319349962208,11.785319349962208,0.3287037037037033,-4.776435185185186,0.5973176309665238,11.25,174.12099999999995,169.08099999999996,174.02924944,64,0.45436175175448257,-0.28396461208468216,0.45436175175448257,0.28396461208468216,1.0833333333333333,1.5833333333333333,2.0,19.413293893154385,10.129264007866954,2.3836836816223226,-2.029093414586245,2.2022648903292747,-2.2190642733780703,5.996259311427875,-0.08847210280851321,2.031264688559135,2.944341945159363,276.1044889322695,9.19023444431199,5.928893055439673,5.928893055439673,5.515855318045498,3.1817544572687315,3.1817544572687315,2.192908618059006,2.192908618059006,1.2934419556938335,1.2934419556938335,0.7531909853069789,0.7531909853069789,-1.3200000000000003,430.6281139745366,8.773632958801498,2.9663520408163264,1.8401366388903264,66.81941565711264,0.0,0.0,0.0,5.783244946364939,6.176298517443475,4.794537184071822,0.0,13.171245143024459,30.33183534230805,0.0,5.563451491696996,0.0,17.96578232709628,5.783244946364939,0.0,6.176298517443475,0.0,35.89528683400505,0.0,0.0,13.171245143024459,0.0,11.959543463808414,0.0,0.0,10.357988675768818,30.33183534230805,17.07,11.959543463808414,17.96578232709628,5.563451491696996,0.0,12.13273413692322,12.13273413692322,6.06636706846161,0.0,0.0,0.0,35.355958049886624,10.541203703703705,-0.3287037037037033,-1.802685185185185,6.593995653817083,-4.776435185185186,0.0,0.0,0.125,12,1,0,0,1,1,1,4,1,0,0,1,2.4316000000000004,36.82750000000001,1,1,3,0,1,0,0,3,1,1,0,89.0
L1,P(C1=CC=CC=C1)(C2=CC=CC=C2)CP(C3=CC=CC=C3)C4=CC=CC=C4,2.293852880658436,2.293852880658436,0.4086776685983029,-0.40867766859830357,0.4005163405836512,11.037037037037036,384.39900000000006,362.2230000000001,384.119673964,132,0.004052346480324516,-0.06222282618840741,0.06222282618840741,0.004052346480324516,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.7687128645256083,1.7672335076272854,778.4639239783821,18.313344020055254,15.148539355978984,16.937393737978816,13.415816237971965,9.16961713312543,12.223382579192617,6.339680321768114,11.248766949211186,4.554311636037002,10.50301196950292,3.1979182210446226,9.666452133282375,-2.259999999999999,3030079.3589368258,18.119583515484447,9.09459432004502,4.535114248292973,163.96699861383212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32734136923226,37.06133576964265,5.902998432009833,0.0,0.0,37.06133576964265,0.0,0.0,0.0,0.0,5.902998432009833,121.32734136923226,0.0,21.21815958495563,0.0,0.0,15.843176184687021,5.902998432009833,0.0,0.0,0.0,121.32734136923226,0.0,0.0,0.0,15.843176184687021,0.0,0.0,0.0,0.0,27.121158016965463,0.0,0.0,121.32734136923226,0.0,0.0,0.0,0.0,5.826156462585034,0.0,1.1733333333333333,44.132680356093054,0.0,0.0,-0.8173553371966065,0.04,27,0,0,0,0,0,4,0,4,0,0,2,6,0,0,0,4,5.209700000000004,123.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,cyclohexyl_phenyl_ketone,11.999722222222223,11.999722222222223,0.2973611111111112,0.2973611111111112,0.6495454598935471,18.0,188.27000000000004,172.14199999999997,188.120115132,74,0.1654388215437653,-0.2938789544957614,0.2938789544957614,0.1654388215437653,1.0,1.6428571428571428,2.2857142857142856,16.13879285830927,9.837879425211911,2.2110622650551233,-2.1956785659970577,2.2611496434239746,-2.170944099325529,5.973087314600084,0.08893389786798403,2.303941289095321,2.074474019699133,296.27141852541797,9.803118619434356,8.407883811534358,8.407883811534358,6.877010097711745,5.469979463277429,5.469979463277429,4.0652100399236915,4.0652100399236915,3.0342693926342013,3.0342693926342013,2.20289891406787,2.20289891406787,-1.11,2580.4142437867595,9.445221241048015,4.405720409270866,2.032960205713462,85.14168886678777,0.0,0.0,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,49.59430021108608,12.841643245852019,11.48135753785839,0.0,4.794537184071822,5.783244946364939,5.917906046161393,32.10410811463005,0.0,35.89528683400505,0.0,0.0,0.0,0.0,5.783244946364939,0.0,5.917906046161393,42.46209679039886,30.33183534230805,17.07,0.0,4.794537184071822,0.0,11.701150992526333,18.405094737549014,19.26246486877803,0.0,30.33183534230805,0.0,0.0,0.0,11.999722222222223,0.8883333333333336,0.6494907407407413,9.692111048122953,5.937009322247417,0.0,0.0,0.46153846153846156,14,1,1,1,1,1,1,1,2,1,1,2,3.449600000000002,57.34750000000004,1,1,0,0,1,0,0,0,1,1,0,5.0
