,r2_test,mae_test,rmse_test
0,-5.63992634707855e-05,33.67777777777778,36.98903741500837
1,-3.4974157592237987e-07,34.422222222222224,37.57629276256211
2,-0.0005296931844918085,31.833333333333332,35.25195030065713
3,-0.000507739799152862,34.766666666666666,37.978502691215546
4,-2.9771159024249982e-05,32.53333333333333,36.65545283068022
5,-0.0008461028462658504,26.9,33.24672080738858
6,-0.00012187447923528438,31.1,35.228618416786595
7,-0.0002809143958122373,33.611111111111114,37.79256246641365
8,-4.2977894451512455e-05,31.433333333333334,35.59291440098093
9,-1.1613356521333884e-05,36.48888888888889,39.12572328049952
