,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test
0,0.8346963338556389,0.6559974679272158,11.680810444367186,16.036971653099464,14.70578429753435,21.694098246444227
1,0.9114838730401236,0.5608495883036178,8.736045261340148,18.958459867762972,10.686675556916377,24.901212933366384
2,0.8074937472101712,0.7250003966169808,12.1552783028479,14.937650080960454,16.213467126497832,18.48137128422852
3,0.7659441211580911,0.7120516585718519,13.07134517965728,14.76334452355337,17.1021963906898,20.37440350836862
4,0.8188864133583764,0.736979927745691,12.560746561830868,13.936328544746061,15.470220404762491,18.79864604615167
5,0.9124618325566628,0.610028355920099,9.011539869529159,16.95971305567589,11.024225022887155,20.753037932752967
6,0.7965937069400902,0.7044286679660348,13.366932308163216,15.184697799861421,16.666787318042974,19.15139010831914
7,0.8246347317018557,0.6987455969574652,11.881095758846605,16.18223156662729,15.016636083270537,20.740157493014156
8,0.8317449059846717,0.6937559043554569,11.985872894216508,15.161545267303993,15.061073405975467,19.696455534784032
9,0.8188867604792337,0.6868193838025762,11.237253389025616,17.143030671785326,14.737855656659303,21.89562237500606
