Entry,Ligand_SMILES,Substrate_SMILES,Yield
153,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,58
154,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,94
155,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,CC(C1=CC=CC=C1)=O,73
156,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1=CC=CC=C1)C(F)(F)F,87
157,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1CCCCC1)C2=CC=CC=C2,63
158,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C1CCCC2=CC=CC=C21,42
159,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C1CCC2=CC=CC=C2C1,91
160,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,O=C(C1CCCCC1)C2CCCCC2,9
161,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,82
162,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,64
163,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,33
164,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,98
165,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,CC(C1=CC=CC=C1)=O,56
166,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1=CC=CC=C1)C(F)(F)F,85
167,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1CCCCC1)C2=CC=CC=C2,49
168,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C1CCCC2=CC=CC=C21,24
169,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C1CCC2=CC=CC=C2C1,99
170,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,O=C(C1CCCCC1)C2CCCCC2,2
171,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,18
172,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,11
173,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,12
174,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,24
175,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,CC(C1=CC=CC=C1)=O,15
176,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1=CC=CC=C1)C(F)(F)F,90
177,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1CCCCC1)C2=CC=CC=C2,5
178,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C1CCCC2=CC=CC=C21,5
179,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C1CCC2=CC=CC=C2C1,78
180,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,O=C(C1CCCCC1)C2CCCCC2,0
181,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1=CC=CC=C1)C2=CC=CC=C2,8
182,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,6
183,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,5
184,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,6
185,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,CC(C1=CC=CC=C1)=O,6
186,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1=CC=CC=C1)C(F)(F)F,63
187,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1CCCCC1)C2=CC=CC=C2,2
188,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C1CCCC2=CC=CC=C21,3
189,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C1CCC2=CC=CC=C2C1,45
190,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,O=C(C1CCCCC1)C2CCCCC2,0
191,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,99
192,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,76
193,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,42
194,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,95
195,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,CC(C1=CC=CC=C1)=O,48
196,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1=CC=CC=C1)C(F)(F)F,92
197,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1CCCCC1)C2=CC=CC=C2,52
198,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C1CCCC2=CC=CC=C21,20
199,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C1CCC2=CC=CC=C2C1,92
200,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,O=C(C1CCCCC1)C2CCCCC2,2
201,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1=CC=CC=C1)C2=CC=CC=C2,95
202,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,48
203,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,21
204,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,39
205,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,CC(C1=CC=CC=C1)=O,32
206,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1=CC=CC=C1)C(F)(F)F,91
207,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1CCCCC1)C2=CC=CC=C2,30
208,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C1CCCC2=CC=CC=C21,19
209,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C1CCC2=CC=CC=C2C1,94
210,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,O=C(C1CCCCC1)C2CCCCC2,3
211,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,30
212,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,13
213,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,7
214,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,52
215,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,CC(C1=CC=CC=C1)=O,12
216,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1=CC=CC=C1)C(F)(F)F,81
217,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1CCCCC1)C2=CC=CC=C2,10
218,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C1CCCC2=CC=CC=C21,5
219,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C1CCC2=CC=CC=C2C1,43
220,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,O=C(C1CCCCC1)C2CCCCC2,1
221,CCCCP(CCCC)CCCC,O=C(C1=CC=CC=C1)C2=CC=CC=C2,7
222,CCCCP(CCCC)CCCC,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,4
223,CCCCP(CCCC)CCCC,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1
224,CCCCP(CCCC)CCCC,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,93
225,CCCCP(CCCC)CCCC,CC(C1=CC=CC=C1)=O,77
226,CCCCP(CCCC)CCCC,O=C(C1=CC=CC=C1)C(F)(F)F,82
227,CCCCP(CCCC)CCCC,O=C(C1CCCCC1)C2=CC=CC=C2,41
228,CCCCP(CCCC)CCCC,O=C1CCCC2=CC=CC=C21,2
229,CCCCP(CCCC)CCCC,O=C1CCC2=CC=CC=C2C1,23
230,CCCCP(CCCC)CCCC,O=C(C1CCCCC1)C2CCCCC2,0
231,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1=CC=CC=C1)C2=CC=CC=C2,15
232,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,8
233,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,2
234,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,21
235,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(C1=CC=CC=C1)=O,11
236,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1=CC=CC=C1)C(F)(F)F,77
237,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1CCCCC1)C2=CC=CC=C2,3
238,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C1CCCC2=CC=CC=C21,2
239,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C1CCC2=CC=CC=C2C1,53
240,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,O=C(C1CCCCC1)C2CCCCC2,0
241,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1=CC=CC=C1)C2=CC=CC=C2,8
242,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,9
243,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1
244,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,12
245,CP(C1=CC=CC=C1)C2=CC=CC=C2,CC(C1=CC=CC=C1)=O,69
246,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1=CC=CC=C1)C(F)(F)F,35
247,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1CCCCC1)C2=CC=CC=C2,1
248,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C1CCCC2=CC=CC=C21,2
249,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C1CCC2=CC=CC=C2C1,12
250,CP(C1=CC=CC=C1)C2=CC=CC=C2,O=C(C1CCCCC1)C2CCCCC2,1
251,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1=CC=CC=C1)C2=CC=CC=C2,2
252,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,1
253,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,2
254,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,2
255,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,CC(C1=CC=CC=C1)=O,1
256,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1=CC=CC=C1)C(F)(F)F,17
257,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1CCCCC1)C2=CC=CC=C2,1
258,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C1CCCC2=CC=CC=C21,1
259,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C1CCC2=CC=CC=C2C1,4
260,CC(P(C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2)(C)C,O=C(C1CCCCC1)C2CCCCC2,0
261,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,5
262,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,3
263,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,2
264,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,6
265,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,CC(C1=CC=CC=C1)=O,2
266,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1=CC=CC=C1)C(F)(F)F,64
267,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1CCCCC1)C2=CC=CC=C2,3
268,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C1CCCC2=CC=CC=C21,1
269,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C1CCC2=CC=CC=C2C1,14
270,CC(C)OC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC(C)C)=CC=C1,O=C(C1CCCCC1)C2CCCCC2,0
271,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1=CC=CC=C1)C2=CC=CC=C2,6
272,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,4
273,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,2
274,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,7
275,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,CC(C1=CC=CC=C1)=O,4
276,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1=CC=CC=C1)C(F)(F)F,62
277,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1CCCCC1)C2=CC=CC=C2,2
278,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C1CCCC2=CC=CC=C21,2
279,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C1CCC2=CC=CC=C2C1,6
280,C1(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)=CC=CC=C1,O=C(C1CCCCC1)C2CCCCC2,0
281,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1=CC=CC=C1)C2=CC=CC=C2,2
282,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,1
283,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,2
284,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,3
285,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,CC(C1=CC=CC=C1)=O,2
286,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1=CC=CC=C1)C(F)(F)F,62
287,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1CCCCC1)C2=CC=CC=C2,1
288,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C1CCCC2=CC=CC=C21,1
289,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C1CCC2=CC=CC=C2C1,5
290,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,O=C(C1CCCCC1)C2CCCCC2,0
291,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,5
292,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,2
293,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,3
294,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,10
295,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,CC(C1=CC=CC=C1)=O,4
296,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1=CC=CC=C1)C(F)(F)F,86
297,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1CCCCC1)C2=CC=CC=C2,1
298,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C1CCCC2=CC=CC=C21,2
299,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C1CCC2=CC=CC=C2C1,9
300,COC1=CC=CC(OC)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,O=C(C1CCCCC1)C2CCCCC2,0
