Ligand_name,Ligand_No,L_MF_PC_0,L_MF_PC_1,L_MF_PC_2,L_MF_PC_3,L_MF_PC_4,L_MF_PC_5,L_MF_PC_6,L_MF_PC_7,L_MF_PC_8,L_MF_PC_9,L_MF_PC_10,L_MF_PC_11,L_MF_PC_12,L_MF_PC_13,L_MF_PC_14,L_MF_PC_15,Substrate_name,Substrate_No,S_MF_PC_0,S_MF_PC_1,S_MF_PC_2,S_MF_PC_3,S_MF_PC_4,S_MF_PC_5,Yield
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,benzophenone,1a,-1.7389756200862758,-0.736113340719478,1.1807102918940762,-0.24164341245224044,-0.0699344330141155,1.1242813488287369,20
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,"4,4'-dimethylbenzophenone",1b,-3.5171421796946745,-2.3511539996630284,-1.965913636817626,-0.06733371597420516,-2.3839080953580067,2.406819118479287,9
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,"4,4'-dimethoxybenzophenone",1c,-4.7187143944131416,-3.647118245063109,-4.14963432357938,-0.2231669907166314,4.99394030544916,-2.887405218389916,7
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,"4,4'-difluorobenzophenone",1d,-3.4073024026650534,-2.1402330021950604,-1.1353994898787316,-0.16376389639792285,-4.949665418941976,-0.39210315082618313,18
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,acetophenone,1e,-1.4021355478758195,-0.21785857456127547,2.970649777885233,-0.34809935039769807,2.1269873203970615,4.842386544897424,34
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,"2,2,2-trifluoroacetophenone",1f,-1.635376995064545,0.5698742407264932,7.156309348890642,-1.0593033095049746,-0.7036705254648339,-4.425942890099244,89
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,cyclohexyl_phenyl_ketone,1g,0.2643439339965548,6.061350451242994,1.4024720972897864,0.13019368217500987,2.249307955688514,1.3448390483714845,5
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,alpha-tetralone,1h,8.265387536151929,-1.4583913708339686,-1.7465871376033535,-6.546150392068035,-0.14283502305817333,-0.23146374745059445,3
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,beta-tetralone,1i,7.255977372882898,-3.8444334001516127,0.6005409482048671,6.672088790958357,0.1995637076151505,-0.34764100703822276,85
dppm,L1,-2.410078265578424,-0.6485462890563642,-2.684239585261147,0.8432606462182701,1.364202258087752,-0.5268479935360635,-0.9522502149842533,-2.5801758724422346,-2.7194475564868,2.7436214138190302,-1.612202061779101,0.580261635768981,0.9994503899179834,0.12897732998799183,-0.5581383621437259,0.17224798093415616,dicyclohexyl_ketone,1j,0.6339382967681245,7.764077241218045,-4.313147876285515,1.8471785943783539,-1.3197857933127806,-1.433770046772772,0
dppe,L2,-2.449093741250895,-0.7984875926207674,-2.814788704271611,0.6590371825583412,1.9712523550166718,-0.5835800210268445,-1.0297501356230723,-2.3167003193121865,-2.8563679650405107,2.753349175865857,-1.5660111017265432,0.07457519606709478,0.4320860475557092,-0.09389176296998503,-0.724702949359123,0.6728328155277393,benzophenone,1a,-1.7389756200862758,-0.736113340719478,1.1807102918940762,-0.24164341245224044,-0.0699344330141155,1.1242813488287369,3
