,Ligand_name,Ligand_smiles
349,L80,CC(C)(C)P([C-]1C=CC=C1)C(C)(C)C.CC(C)(C)P([C-]2C=CC=C2)C(C)(C)C.[Fe+2]
350,L81,BrC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3
351,L82,ClP([C-]1C=CC=C1)Cl.ClP([C-]2C=CC=C2)Cl.[Fe+2]
352,L83,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC(C=CC4=C5C(C=C6)=CC=C4)=C5C6=C1
353,L84,C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1
354,L85,CN(C(C=C1)=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)C
355,L86,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=C(C4=C(P(C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)C=CC7=C4OCO7)C8=C(OCO8)C=C3)=C1
356,L87,C12CC(CC(C3)(PC45CC6CC(CC(C5)C6)C4)C2)CC3C1
357,L88,NCCCP(C1=CC=CC=C1)C2=CC=CC=C2
358,L89,CC(P(C1CCCCC1)C2CCCCC2)C3=CC=C[C-]3P(C4=CC=CC=C4)C5=CC=CC=C5.[CH-]6C=CC=C6.[Fe+2]
359,L90,CC(C)(C)P(C(C)(C)C)C(C)(C)C
360,L91,FC1=C(C(F)=C(C(F)=C1P(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(C(F)=C(C(F)=C3F)F)F)F)F
361,L92,CC12CC3(OC(CC(O1)(P3C4=CC=CC=C4)C)(O2)C)C
362,L93,CC(P(C1=CC=CC=C1)C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)C
363,L94,CC(C)(P(C(C)(C)C)C1=CC=C(N(C)C)C=C1)C
364,L95,CC(C)(C)P(C(C)(C)C)C/C=C(C)/C
365,L96,FC1=C(F)C(F)=C(F)C(P(C2=CC=CC=C2)C3=CC=CC=C3)=C1F
366,L97,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)\C4=CC=CC=C4
367,L98,O=S(C1=CC=CC(P(C2=CC=CC=C2)C3=CC=CC=C3)=C1)([O-])=O.[Na+]
368,L99,CC(P(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2)CC(C)P(C3=CC=C(N(C)C)C=C3)C4=CC=C(N(C)C)C=C4
369,L100,CC(P(C1=CC(C)=CC(C)=C1)C2=CC(C)=CC(C)=C2)CC(C)P(C3=CC(C)=CC(C)=C3)C4=CC(C)=CC(C)=C4
370,L101,CCCCCCP(CCCCCC)CCCCCC
371,L102,CCCCCCCCP(CCCCCCCC)CCCCCCCC
