,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test
0,0.7457195906512329,-0.3428088788182675,12.32732427000333,36.29461119313721,17.274765261507657,44.84197161027076
1,0.4969735427818551,0.22281984956547451,20.582061741688534,25.890019411436842,25.270518218405236,33.26509955793791
2,0.4955177880813608,-0.032113396201636,20.35738830070969,31.151028199021383,25.48073199533953,37.77906672372976
3,0.592524992981321,0.050396409950910326,16.74095439206236,30.858197477479205,22.16693050813707,38.28427494740064
4,0.8209450829171641,-0.30432737822878453,12.400923431255109,25.95428567923566,15.839765433747754,34.89883569254009
5,0.8818647071400249,-0.448683273715927,8.21381009382684,39.42028864009172,12.091698729277281,46.620052444651144
6,0.7349881483662752,-0.33648294631747055,12.641425778690774,36.631586310443225,17.55416720351761,44.852700193424205
7,0.7982968021909141,-0.1685591525104635,10.663723474726845,33.227564358030584,15.678783703221292,42.50047307188129
8,0.9155140961664401,-0.16318249436049603,6.715208011915459,31.99404722478671,10.094499961586498,40.88599996719442
9,0.8781735236964907,0.17130034619463153,9.836391746295291,24.130432081755725,13.013037592161922,29.938909869368345
