Ligand_name,Ligand_No,L_mordred_PC_0,L_mordred_PC_1,L_mordred_PC_2,L_mordred_PC_3,L_mordred_PC_4,L_mordred_PC_5,L_mordred_PC_6,Substrate_name,Substrate_No,S_mordred_PC_0,S_mordred_PC_1,S_mordred_PC_2,S_mordred_PC_3,Yield
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,86
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,98
dppb,L4,0.1049191084071242,-3.0734394166364787,-6.879613571282074,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,5
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,84
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,17
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,4
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,3
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,7
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,6
dppbz,L5,-10.44409295843606,0.47232005565770174,-9.187425060364067,-3.130437290521389,3.433872380057278,-3.8899301281162444,-0.5208494473072118,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,3
