,r2_train,r2_test,mae_train,mae_test
0,0.8041259552397779,0.68665642150907,13.043403328435314,16.582887204747312
1,0.8128463314619115,0.6449136851255559,12.387153753001764,17.635215417467943
2,0.7856995105284682,0.7290323439225094,13.726785189146037,15.37687207978613
3,0.7840087587232701,0.7437021096781564,13.18427943608715,14.586772370790179
4,0.7919352542789582,0.7180832964122938,13.45615069529612,15.094029332952394
5,0.8166460968460111,0.6080493945125468,12.80047478413133,17.87184887237646
6,0.7962457172318915,0.6989158081412663,13.525876453124527,15.553179713762974
7,0.7882590987645841,0.7129931910587319,13.551296668713338,15.96810764324545
8,0.790148686488953,0.695024306564695,13.782090382161954,15.840827727920292
9,0.7949597221323901,0.7119206785120141,12.240080448672778,16.870495207619427
