,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test
0,0.7916770294304092,0.6957602460891572,13.488859201801677,16.11175778208095,16.50880085142714,20.401813046135175
1,0.799045582736899,0.6603050049841224,12.754002351995354,17.26462060912303,16.102014062522358,21.900721824500156
2,0.7719240275943619,0.7495244513724749,14.136813344819076,14.559090630531433,17.647908473401607,17.63806044061405
3,0.7736320783323283,0.7446640264511726,13.49557487444046,14.902837176167258,16.818976125898917,19.185963552025857
4,0.7818157599548126,0.7136122113560159,13.956378482078781,15.17431294384817,16.979804055445154,19.615951200071645
5,0.804746102349518,0.6186131659267202,13.369291447526752,17.168060560676484,16.46452477691147,20.52333874930858
6,0.7868301009320189,0.7080999259744475,13.855201389435699,15.589204264383635,17.062106195555224,19.03207984312078
7,0.773865379190769,0.7424754991264764,14.02184559422606,14.842843339504215,17.052356073909436,19.175850069613187
8,0.7914966923892223,0.6950571889296848,13.635052026963244,15.888762933771792,16.76595471717593,19.65456414905253
9,0.7870845948857612,0.701882781827878,12.353814287249339,17.314178592838267,15.97948365766994,21.362564512326195
