,r2_train,r2_test,mae_train,mae_test
0,0.9677482743945272,0.7255252393169049,4.634159660111388,13.427757195184586
1,0.9645093195641018,0.709549458226567,4.896909184463119,14.305591922065462
2,0.934722792805504,0.813039259038731,6.560157843608704,11.385075526171633
3,0.960813745753304,0.7793784896630721,5.0726448098331245,12.394148326094516
4,0.9402634879232983,0.7829492957016225,6.547085406545271,12.32059072180608
5,0.9571064365238742,0.7145149466304099,5.72590274071419,13.853648868082637
6,0.9479125842568789,0.7967664993287116,6.279008134957049,11.267147973144954
7,0.9483091904001889,0.7373773378131061,5.920608406887244,13.893801653922807
8,0.9592577265561744,0.7340076779121888,5.558688247232245,13.062733060737143
9,0.9585901304406808,0.8046155224297766,5.0049598932830515,12.511712163051357
