Entry,Ligand_name,Ligand_No,Ligand_smiles,Substrate_name,Substrate_No,Substrate_smiles,Yield
16,dppe,L2,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,1
17,dppe,L2,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,1
18,dppe,L2,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,31
19,dppe,L2,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
20,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,5
21,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,1
22,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1
23,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,3
24,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,acetophenone,1e,CC(C1=CC=CC=C1)=O,3
25,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,16
26,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,3
27,dppp,L3,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,4
