Entry,Ligand_name,Ligand_No,Ligand_smiles,Substrate_name,Substrate_No,Substrate_smiles,Yield
107,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,15
108,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,95
109,dppf,L11,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,18
110,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,85
111,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,57
112,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,31
113,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,96
114,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,acetophenone,1e,CC(C1=CC=CC=C1)=O,46
115,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,88
116,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,58
117,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,26
118,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,93
119,triphenylphosphine,L12,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,4
120,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,84
121,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,54
122,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,34
123,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,96
124,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,acetophenone,1e,CC(C1=CC=CC=C1)=O,48
125,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,88
126,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,53
127,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,22
128,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,98
129,tri(p-tolyl)phosphine,L13,CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=C(C)C=C3,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,3
130,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,92
131,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,68
132,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,45
133,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,94
134,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,acetophenone,1e,CC(C1=CC=CC=C1)=O,55
135,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,89
136,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,58
137,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,34
138,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,95
139,tri(m-tolyl)phosphine,L14,CC1=CC(P(C2=CC=CC(C)=C2)C3=CC=CC(C)=C3)=CC=C1,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,6
140,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,4
141,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,2
142,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,0
143,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0
144,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,acetophenone,1e,CC(C1=CC=CC=C1)=O,0
145,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,14
146,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,1
147,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,2
148,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,7
149,tri(o-tolyl)phosphine ,L15,CC(C=CC=C1)=C1P(C2=CC=CC=C2C)C3=C(C)C=CC=C3,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
150,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,97
151,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,76
152,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,58
153,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,94
154,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,acetophenone,1e,CC(C1=CC=CC=C1)=O,73
155,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,87
156,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,63
157,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,42
158,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,91
159,"tris(3,5-dimethylphenyl)phosphine",L16,CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC(C)=CC(C)=C3)=C1,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,9
160,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,82
161,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,64
162,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,33
163,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,98
164,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,acetophenone,1e,CC(C1=CC=CC=C1)=O,56
165,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,85
166,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,49
167,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,24
168,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,99
169,tris(4-methoxyphenyl)phosphine,L17,COC(C=C1)=CC=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,2
170,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,18
171,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,11
172,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,12
173,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,24
174,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,acetophenone,1e,CC(C1=CC=CC=C1)=O,15
175,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,90
176,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,5
177,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,5
178,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,78
179,tris(o-methoxyphenyl)phosphine,L18,COC(C=CC=C1)=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
180,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,8
181,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,6
182,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,5
183,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,6
184,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,acetophenone,1e,CC(C1=CC=CC=C1)=O,6
185,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,63
186,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,2
187,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,3
188,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,45
189,"tris(2,6-dimethoxyphenyl)phosphine",L19,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
190,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,99
191,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,76
192,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,42
193,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,95
194,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,acetophenone,1e,CC(C1=CC=CC=C1)=O,48
195,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,92
196,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,52
197,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,20
198,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,92
199,tris(4-fluorophenyl)phosphine,L20,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,2
200,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,95
201,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,48
202,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,21
203,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,39
204,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,acetophenone,1e,CC(C1=CC=CC=C1)=O,32
205,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,91
206,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,30
207,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,19
208,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,94
209,tris(p-trifluoromethylphenyl)phosphine,L21,FC(C1=CC=C(P(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F)C=C1)(F)F,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,3
210,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,30
211,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,13
212,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,7
213,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,52
214,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,acetophenone,1e,CC(C1=CC=CC=C1)=O,12
215,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,81
216,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,10
217,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,5
218,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,43
219,tri(2-furyl)phosphine,L22,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,1
220,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,7
221,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,4
222,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1
223,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,93
224,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,acetophenone,1e,CC(C1=CC=CC=C1)=O,77
225,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,82
226,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,41
227,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,2
228,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,23
229,tri-n-butylphosphine,L23,CCCCP(CCCC)CCCC,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,0
230,tricyclohexylphosphine ,L24,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,15
231,tricyclohexylphosphine ,L24,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,8
